id,feature_type,created_at,updated_at,name,description,state_name,releases,parent_id,parent_name,owner_name,tags,start_date,end_date,Realizadores ativos de assinatura,ZhipChat (sample),Effort,Prioritization  score,Melhorar gerenciamento de campanha de Assinaturas priority,Melhorar gerenciamento de campanha de Assinaturas value,Alcançar Product Market Fit em Assinaturas priority,Alcançar Product Market Fit em Assinaturas value,Reduzir Churn de Receita Mensal para < 2% priority,Reduzir Churn de Receita Mensal para < 2% value,Aumentar engajamento e satisfação de realizadores de assinatura priority,Aumentar engajamento e satisfação de realizadores de assinatura value,"Recompensas (apoio, gestão e entrega) priority","Recompensas (apoio, gestão e entrega) value"
962465,feature,2018-05-11 09:14:19 UTC,2018-05-11 09:16:29 UTC,Ranking de popularidade de campanhas baseado em captação no Catarse,"",Icebox,,808339,Descobrir projetos,Thiago Maia,"",,,,,6,5,,,,,,,,,,
975123,feature,2018-05-17 08:45:03 UTC,2021-08-05 07:46:18 UTC,Enviar SMS com lembrança de prazo de boleto,"",Icebox,,808330,Resgatar assinantes perdidos,Thiago Maia,"",,,,,20,2,1,20,,,,,1,60,,
975128,feature,2018-05-17 08:48:11 UTC,2021-07-13 01:57:05 UTC,Ter cupom de desconto para apoios no Catarse,"",Icebox,,808180,Apoiar um projeto,Thiago Maia,"",,,,,8,0,,,,,,,,,,60
975131,feature,2018-05-17 08:48:35 UTC,2021-08-05 07:46:28 UTC,Ter paypal como opção de meio de pagamento,"",Icebox,,8924870,Assinar uma campanha no Catarse,Thiago Maia,"",,,,,100,,,,,,,,1,60,,
975133,feature,2018-05-17 08:48:54 UTC,2021-08-05 03:48:09 UTC,Ter Google como opção de login,"",Done,,808180,Apoiar um projeto,Thiago Maia,"",,,,,6,3,,,,,,,1,40,,
975134,feature,2018-05-17 08:49:35 UTC,2019-06-26 07:59:42 UTC,Realizador de assinaturas ter acesso aos endereços dos assinantes direto na Base de Assinantes online,"",Done,,807812,Gerenciar um projeto,Thiago Maia,"",,,,,,,,,,,,,,,,
975143,feature,2018-05-17 08:51:12 UTC,2021-08-05 07:44:58 UTC,Possibilidade de marcar recompensa entregue na Base de Assinantes de Assinaturas,"",Icebox,,8924852,Gerenciar minha campanha de assinaturas,Thiago Maia,"",,,,,5,8,1,20,2,60,,,2,60,,60
975144,feature,2018-05-17 08:51:46 UTC,2021-08-05 07:44:58 UTC,Possibilidade de criar tags e associar tags a assinantes e apoiadores na Base de Assinantes / Relatório de Apoios,"",Icebox,,8924852,Gerenciar minha campanha de assinaturas,Thiago Maia,"",,,,,8,0,1,20,1,20,,,1,60,,40
975146,feature,2018-05-17 08:52:25 UTC,2021-08-05 07:44:58 UTC,Ter tabela com histórico de pagamentos de todos os assinantes direto na plataforma,"",Icebox,,8924852,Gerenciar minha campanha de assinaturas,Thiago Maia,"",,,,,3,9,1,20,1,60,,,2,40,,
975148,feature,2018-05-17 08:53:21 UTC,2018-12-17 23:00:04 UTC,Ter a possibilidade de ver no Relatório de Pagamentos o tempo de assinatura de cada assinante,"",Done,,865701,Acompanhar o andamento da minha campanha,Thiago Maia,"",,,,,1,6,,,1,20,,,,,,
975150,feature,2018-05-17 08:54:13 UTC,2019-06-26 07:59:42 UTC,Filtrar assinantes por quantidade de meses pagos na Base de Assinantes,"",Done,,807812,Gerenciar um projeto,Thiago Maia,"",,,,,3,,,,2,40,,,,,,
983282,feature,2018-05-22 00:15:06 UTC,2018-05-22 00:29:04 UTC,Poder sacar dinheiro de projetos Flex sem precisar encerrar o projeto,"",Icebox,,808178,Receber dinheiro em minha conta bancária,Thiago Maia,"",,,,,40,1,,,,,,,,,,
983283,feature,2018-05-22 00:15:32 UTC,2021-09-21 03:36:40 UTC,Não ter limite de 365 dias em projetos Flex,"",Done,,807812,Gerenciar um projeto,Thiago Maia,"",,,,,8,5,,,,,,,,,,
